# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: sri-kaza.com
# Property: sri-kaza.com
# ----------------------------------------
# 
# All Users
# Start date: 20260322
# End date: 20260619
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
undefined - Austin | Book Tour,6,1,6,7,6,0,0
"Books, Wine, and the Power of Being Local",5,2,2.5,111,10,0,0
"Former McKinsey Partner Sri Kaza Exposes the Brutal Truth About Scale, Profit and Why Founders Fail (#520)",5,4,1.25,7.75,5,0,0
Google's Antitrust Losses,5,1,5,3,5,0,0
The Four Principles of Effective Negotiation,5,2,2.5,17.5,9,0,0
The Penny is Going Away. Now What?,5,1,5,3,5,0,0
404 - Page Not Found | Sri Kaza,4,3,1.3333333333333333,1.6666666666666667,11,0,0
Give Lenders Something to Root For,4,1,4,0,4,0,0
"The Deep Wealth Podcast Podcast: Former McKinsey Partner Sri Kaza Exposes the Brutal Truth About Scale, Profit and Why Founders Fail (#520) | Sri Kaza",4,4,1,2.5,7,0,0
Book Tour Overview,3,2,1.5,0.5,3,0,0
Featured Author — Non-Obvious 7-Minute Meetup @ SXSW 2026 | Non-Obvious Company | Sri Kaza,3,3,1,18.666666666666668,5,0,0
Restaurant Productivity Revolution,3,1,3,6,6,0,0
Small Business Confidence Hits New Highs While Uncertainty Remains,3,1,3,0,5,0,0
"Sri Kaza, Author of Unconvention: A Small Business Strategy Guide",3,3,1,0,3,0,0
Tariffs Are Coming,3,1,3,0,5,0,0
What Amazon Go Got Wrong,3,1,3,10,7,0,0
Build Loyal Customers Fast,2,1,2,0,2,0,0
Hello Chaos Podcast: Why Small Wins Beat Big Plans & Build Stronger Businesses | Sri Kaza,2,1,2,0,2,0,0
Hire Sri Kaza | Keynote Speaker on Small Business Strategy & Entrepreneurship hero,2,1,2,37,2,0,0
Non-Obvious House @ SXSW - Austin | Events & Appearances,2,1,2,0,2,0,0
Scaling Without Losing Your Soul EP 393,2,1,2,1,2,0,0
"Unconvention: A Small Business Strategy Guide | Award Winning, #1 Amazon Bestseller hero",2,2,1,18,2,0,0
"Unleashed Podcast: Sri Kaza, Author of Unconvention: A Small Business Strategy Guide | Sri Kaza",2,2,1,0,6,0,0
When Small Means Strong,2,1,2,4,3,0,0
Why Small Wins Beat Big Plans & Build Stronger Businesses,2,1,2,14,2,0,0
Against The Giants: Small Biz Wins,1,1,1,57,1,0,0
Bookstore Conversations | Sri Kaza,1,1,1,13,2,0,0
Drink Yourself to Trust with Sri Kaza,1,1,1,1,1,0,0
Everything is Personal Podcast: How Small Businesses Outsmart Big Companies | Sri Kaza hero,1,1,1,1,1,0,0
Nutmeg Chatter Podcast: So You Want to Start and Run Small Business? | Sri Kaza,1,1,1,0,3,0,0
Small Business Strategy Blog | Practical Advice for Entrepreneurs hero,1,1,1,0,1,0,0
"Small Wins. Big Impact | Sri Kaza, Author, 'Unconvention - A Small Business Strategy Guide'",1,1,1,0,1,0,0
So You Want to Start and Run Small Business?,1,1,1,0,1,0,0
"Sri Kaza | Executive, Entreprenuer and Author",1,1,1,0,2,0,0
"Sri Kaza | Executive, Speaker & Award Winning Author of Unconvention about",1,1,1,0,1,0,0
"The Brand Called You Podcast: Small Wins. Big Impact | Sri Kaza, Author, 'Unconvention - A Small Business Strategy Guide' | Sri Kaza",1,1,1,2,4,0,0
"The Deep Wealth Podcast Podcast: Former McKinsey Partner Sri Kaza Exposes the Brutal Truth About Scale, Profit and Why Founders Fail (#520) | Sri Kaza hero",1,1,1,20,1,0,0
The Innovate Summit - Louisville | Events & Appearances,1,1,1,0,1,0,0
The Payal Nanjiani Leadership Podcast Podcast: Scaling Without Losing Your Soul EP 393 | Sri Kaza,1,1,1,0,1,0,0
The Underdog Principles | Free Primer for Small Business Owners,1,1,1,225,23,1,0
War and the Small Business Economy hero,1,1,1,0,1,0,0
What If It Did Work? Podcast: Against The Giants: Small Biz Wins | Sri Kaza,1,1,1,15,2,0,0
undefined - Ann Arbor | Book Tour,1,1,1,0,1,0,0
undefined - Los Angeles | Book Tour,1,1,1,0,1,0,0
undefined - New York | Book Tour,1,1,1,0,1,0,0
undefined - San Francisco | Book Tour,1,1,1,0,1,0,0
undefined - Washington DC | Book Tour,1,1,1,0,1,0,0
Management Blueprint Podcast: Drink Yourself to Trust with Sri Kaza | Sri Kaza,0,1,0,12,4,0,0
The Jason Marc Campbell Business Podcast Podcast: Build Loyal Customers Fast | Sri Kaza,0,1,0,25,1,0,0
Ліллі: Консалтинг наступного покоління,0,1,0,5,1,0,0
莉莉：新一代諮商師,0,1,0,4,1,0,0
